"psi_z";"psi";"n_gauche";"n_droite";"logLik";"AIC";"modele";"reponse";"source";"vent";"version";"variable"
0,699757104460359;1027,20952380952;6545;1910;-2457,08700630404;4978,17401260808;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,722457147170816;1027,33809523809;6589;1866;-2456,92446856466;4977,84893712933;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,745157189881292;1027,46666666666;6650;1805;-2456,78794294919;4977,57588589839;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,767857232591729;1027,59523809524;6705;1750;-2456,75090235314;4977,50180470628;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,790557275302185;1027,72380952381;6763;1692;-2456,78416223604;4977,56832447209;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,813257318012642;1027,85238095238;6823;1632;-2456,9073730056;4977,8147460112;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,835957360723098;1027,98095238095;6896;1559;-2457,13464025009;4978,26928050018;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,858657403433555;1028,10952380952;6967;1488;-2457,40561092586;4978,81122185171;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,881357446144011;1028,23809523809;7052;1403;-2457,68083828484;4979,36167656968;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,904057488854468;1028,36666666666;7137;1318;-2457,92741123694;4979,85482247387;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
1,09826896537729;1029,46666666666;7614;841;-2459,81898040506;4983,63796081012;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
-1,22661190882051;7,10000000000015;865;7590;-2460,9206574925;4985,841314985;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-1,0152616147313;8,63333333333346;1331;7124;-2460,42546667939;4984,85093335877;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,813100463863368;10,1000000000001;1825;6630;-2459,7345420917;4983,46908418339;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,647695885880511;11,3000000000001;2300;6155;-2459,17050930393;4982,34101860787;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,496075022729558;12,4000000000001;2789;5666;-2458,65631491634;4981,31262983269;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,362832446021145;13,3666666666667;3266;5189;-2458,46800203315;4980,9360040663;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,343469608519183;13,5071428571429;3338;5117;-2458,42720328652;4980,85440657304;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,324106771017222;13,6476190476191;3420;5035;-2458,39253981486;4980,78507962972;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,30474393351526;13,7880952380953;3485;4970;-2458,34735960515;4980,6947192103;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,285381096013299;13,9285714285715;3548;4907;-2458,31971883979;4980,63943767958;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,266018258511338;14,0690476190477;3627;4828;-2458,3085543333;4980,6171086666;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,246655421009376;14,2095238095239;3693;4762;-2458,30843784342;4980,61687568684;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,234184440923367;14,3;3750;4705;-2458,32830302053;4980,65660604106;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,227292583507415;14,35;3762;4693;-2458,34506228784;4980,69012457569;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,207929746005453;14,4904761904762;3816;4639;-2458,40590728483;4980,81181456965;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,188566908503492;14,6309523809524;3877;4578;-2458,47016669632;4980,94033339263;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,16920407100153;14,7714285714286;3939;4516;-2458,53097411249;4981,06194822497;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,149841233499569;14,9119047619048;4001;4454;-2458,59142423785;4981,1828484757;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,130478395997607;15,052380952381;4082;4373;-2458,63994677673;4981,27989355346;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-0,111115558495646;15,1928571428572;4151;4304;-2458,69540774087;4981,39081548173;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
