"modele";"seuil_haut";"logLik";"AIC_2BP"
"intensite_MR_rafale_max_sans_2202_2024";29,5179047619048;-16868,851178555;33801,70235711
"intensite_MR_rafale_max_sans_2202_2024";29,6213095238095;-16868,8446396836;33801,6892793672
"intensite_MR_rafale_max_sans_2202_2024";29,7247142857143;-16868,8361671888;33801,6723343777
"intensite_MR_rafale_max_sans_2202_2024";29,8281190476191;-16868,8186088861;33801,6372177722
"intensite_MR_rafale_max_sans_2202_2024";29,9315238095238;-16868,8205734605;33801,6411469211
"intensite_MR_rafale_max_sans_2202_2024";30,0349285714286;-16868,8268475063;33801,6536950126
"intensite_MR_rafale_max_sans_2202_2024";30,1383333333333;-16868,8504923118;33801,7009846235
"intensite_MR_rafale_max_sans_2202_2024";30,2417380952381;-16868,8532711;33801,7065421999
"intensite_MR_rafale_max_sans_2202_2024";30,3451428571429;-16868,847701763;33801,6954035261
"intensite_MR_rafale_max_sans_2202_2024";30,4485476190476;-16868,8445188143;33801,6890376285
"intensite_MR_rafale_max_sans_2202_2024";30,5519523809524;-16868,8528288049;33801,7056576099
"intensite_MR_rafale_max_sans_2202_2024";30,6553571428571;-16868,8838658584;33801,7677317168
"intensite_MR_rafale_max_sans_2202_2024";30,7587619047619;-16868,9480840336;33801,8961680672
"intensite_MR_rafale_max_sans_2202_2024";30,8621666666667;-16869,0332107124;33802,0664214248
"intensite_MR_rafale_max_sans_2202_2024";31,586;-16869,5708843661;33803,1417687322
"intensite_MR_rafale_max_sans_2202_2024";32,3098333333333;-16869,9126794973;33803,8253589947
