"terme","beta","SE","z","p_value","IC95_inf","IC95_sup","ratio","ratio_IC95_inf","ratio_IC95_sup","modele","reponse","source","vent","version"
"temperature_z",-0.0452986475028878,0.0277823330033708,-1.63048393010737,0.102999258848022,-0.0997520201894946,0.00915472518371895,0.955712018201006,0.905061827270752,1.00919675784823,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"humidite_z",0.0797975132851333,0.0235052604274725,3.39487892641545,0.000686589558481552,0.0337272028472872,0.125867823722979,1.08306773864172,1.03430241348567,1.13413225299677,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"pression_z",-0.0103318053346002,0.0213524997936963,-0.483868653994806,0.628479087745541,-0.0521827049302448,0.0315190942610445,0.989721384426442,0.949155435622346,1.03202108108744,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"vent_IC_moyen_z",-0.00745491331577231,0.0129069481484276,-0.577589158183804,0.563541528417928,-0.0327525316866904,0.0178427050551458,0.992572805626958,0.967778024353184,1.01800283709545,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"direction_IC_sin",0.0407595013716127,0.021001122713101,1.94082487533802,0.0522795226817716,-0.000402699146065312,0.0819217018892907,1.04160157167085,0.999597381926353,1.08537082401754,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"direction_IC_cos",0.0215148313666419,0.0219895937553663,0.978409678959688,0.32787174302046,-0.021584772393876,0.0646144351271598,1.02174794414338,0.978646511745037,1.06674764466254,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"pluie",0.00939763856276205,0.0327448155234812,0.286996228640318,0.77411520793381,-0.054782199863261,0.0735774769887851,1.00944193502,0.94669131499892,1.07635192594757,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"saisonete",0.241377958094893,0.0769325231147293,3.13752816523289,0.00170378903808838,0.090590212790024,0.392165703399763,1.27300208583719,1.0948202699779,1.48018296243141,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"saisonprintemps",0.0580302539784122,0.0874436324977917,0.663630413339447,0.506926886865573,-0.113359265717259,0.229419773674084,1.05974705678988,0.892829839336893,1.25786994889072,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure10",-0.0844099200001988,0.0361037334559465,-2.33798313692945,0.0193881229374253,-0.155173237573854,-0.0136466024265435,0.919054440071932,0.85626682704636,0.986446090326235,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
