ruche;annee;heure;n_videos;presence;intensite;n_positives;ic_intensite;presence_pct;ic_presence;presence_inf;presence_sup
2206;2023;15;184;0.8913043478260869;77.10365853658537;164;7.643281029973842;89.13043478260869;4.497449118557283;84.6329856640514;93.62788390116597
2206;2023;16;182;0.8626373626373627;76.87261146496816;157;7.950196317062446;86.26373626373626;5.001137785883426;81.26259847785283;91.26487404961969
2206;2023;17;180;0.8055555555555556;72.96551724137932;145;6.736083477486692;80.55555555555556;5.781830250234264;74.77372530532129;86.33738580578982
2206;2023;18;180;0.8944444444444445;71.00621118012423;161;7.185692392572934;89.44444444444444;4.48887024809722;84.95557419634723;93.93331469254166
2206;2023;19;181;0.9447513812154696;67.92397660818713;171;6.739432515725722;94.47513812154696;3.3284057549283754;91.1467323666186;97.80354387647533
2206;2023;20;180;0.9666666666666667;72.37931034482759;174;7.315048060135084;96.66666666666667;2.622391708270322;94.04427495839634;99.289058374937
2206;2024;9;20;0.9;118.5;18;26.144980247781078;90.0;13.148079707698763;76.85192029230123;100.0
2206;2024;10;20;0.95;110.3157894736842;19;17.239409595844528;95.0;9.55185845791279;85.44814154208721;100.0
2206;2024;11;20;0.9;104.83333333333333;18;21.74856635647719;90.0;13.148079707698763;76.85192029230123;100.0
2206;2024;12;20;0.95;93.63157894736842;19;29.60150296068677;95.0;9.55185845791279;85.44814154208721;100.0
2206;2024;13;20;0.95;84.15789473684211;19;14.626853408299594;95.0;9.55185845791279;85.44814154208721;100.0
2206;2024;14;20;0.95;77.63157894736842;19;16.46908242061962;95.0;9.55185845791279;85.44814154208721;100.0
2206;2024;15;20;0.8;83.125;16;19.960008308281505;80.0;17.53077294359835;62.46922705640165;97.53077294359835
2206;2024;16;20;0.85;88.05882352941177;17;20.974579539318803;85.0;15.649345034217884;69.35065496578211;100.0
2206;2024;17;20;0.7;82.64285714285714;14;16.12937787917534;70.0;20.084023501280814;49.91597649871919;90.08402350128081
2206;2024;18;20;1.0;90.5;20;18.108589064163358;100.0;0.0;100.0;100.0
2206;2024;19;20;0.95;82.21052631578948;19;16.24339262596429;95.0;9.55185845791279;85.44814154208721;100.0
2206;2024;20;20;0.95;100.94736842105263;19;23.090783521927307;95.0;9.55185845791279;85.44814154208721;100.0
