ruche;annee;semaine;n_videos;presence;intensite;n_positives;ic_intensite;date_semaine;presence_pct;ic_presence;presence_inf;presence_sup
2202;2024;25;84;0.19047619047619047;1.6875;16;0.5283145369947717;2024-06-17;19.047619047619047;8.39753050119608;10.650088546422968;27.445149548815127
2202;2024;26;84;0.4880952380952381;2.4634146341463414;41;0.5479865476405447;2024-06-24;48.80952380952381;10.689645387875059;38.11987842164875;59.49916919739887
2202;2024;27;84;0.21428571428571427;1.8888888888888888;18;0.6701963206451117;2024-07-01;21.428571428571427;8.774964387392123;12.653607041179304;30.203535815963548
2202;2024;28;80;0.4625;2.324324324324324;37;0.6172607973725968;2024-07-08;46.25;10.925873820889567;35.324126179110436;57.175873820889564
2202;2024;29;84;0.6190476190476191;2.1923076923076925;52;0.4170605262292005;2024-07-15;61.904761904761905;10.38517461826482;51.519587286497085;72.28993652302673
2202;2024;30;84;0.6785714285714286;2.8421052631578947;57;0.5324672099199058;2024-07-22;67.85714285714286;9.987492177719089;57.86965067942377;77.84463503486195
2202;2024;31;78;0.5512820512820513;2.86046511627907;43;0.6309674481919364;2024-07-29;55.12820512820513;11.037797374758485;44.09040775344665;66.16600250296362
2202;2024;32;84;0.34523809523809523;2.0344827586206895;29;0.4508562338911657;2024-08-05;34.523809523809526;10.167577372689603;24.356232151119922;44.691386896499125
2202;2024;33;84;0.011904761904761904;1.0;1;;2024-08-12;1.1904761904761905;2.3194028605720116;0.0;3.509879051048202
2202;2024;34;84;0.0;;0;;2024-08-19;0.0;0.0;0.0;0.0
2202;2024;35;84;0.011904761904761904;2.0;1;;2024-08-26;1.1904761904761905;2.3194028605720116;0.0;3.509879051048202
2202;2024;36;84;0.0;;0;;2024-09-02;0.0;0.0;0.0;0.0
2202;2024;37;24;0.0;;0;;2024-09-09;0.0;0.0;0.0;0.0
2203;2022;15;26;0.8846153846153846;18.434782608695652;23;7.328290272821887;2022-04-11;88.46153846153845;12.280628528317411;76.18090993322105;100.0
2203;2022;16;11;1.0;23.09090909090909;11;5.024600901054335;2022-04-18;100.0;0.0;100.0;100.0
2203;2022;17;29;0.9655172413793104;20.178571428571427;28;3.640473615911554;2022-04-25;96.55172413793103;6.641070493126991;89.91065364480404;100.0
2203;2022;18;20;0.85;10.176470588235293;17;1.448077594510454;2022-05-02;85.0;15.649345034217884;69.35065496578211;100.0
2203;2022;19;23;0.782608695652174;15.055555555555555;18;3.8406437444551935;2022-05-09;78.26086956521739;16.85720514594447;61.40366441927292;95.11807471116185
2203;2022;20;37;0.9459459459459459;11.285714285714286;35;3.743558546120962;2022-05-16;94.5945945945946;7.286223776186695;87.3083708184079;100.0
2203;2022;21;22;0.9545454545454546;5.523809523809524;21;1.4096114515867288;2022-05-23;95.45454545454545;8.704256840909327;86.75028861363613;100.0
2203;2022;22;39;0.8717948717948718;5.176470588235294;34;0.9082703899086763;2022-05-30;87.17948717948718;10.492612189930748;76.68687498955643;97.67209936941794
2203;2023;18;53;0.9622641509433962;4.803921568627451;51;1.0327962141643967;2023-05-01;96.22641509433963;5.130295170027415;91.09611992431222;100.0
2203;2023;19;84;0.9642857142857143;7.604938271604938;81;1.3964459842699577;2023-05-08;96.42857142857143;3.9686269665968847;92.45994446197454;100.0
2203;2023;20;73;0.958904109589041;6.257142857142857;70;1.4516232992407332;2023-05-15;95.8904109589041;4.553878388079003;91.3365325708251;100.0
2203;2023;21;84;0.9285714285714286;5.487179487179487;78;0.9501712298774911;2023-05-22;92.85714285714286;5.507570547286102;87.34957230985675;98.36471340442897
2203;2023;22;84;0.9404761904761905;10.189873417721518;79;2.0553547489759074;2023-05-29;94.04761904761905;5.059827255139433;88.98779179247961;99.10744630275849
2203;2023;23;84;0.9880952380952381;10.289156626506024;83;1.7701010886097874;2023-06-05;98.80952380952381;2.319402860572007;96.4901209489518;100.0
2203;2023;24;84;1.0;13.071428571428571;84;2.2689965582887304;2023-06-12;100.0;0.0;100.0;100.0
2203;2023;25;84;0.9880952380952381;17.686746987951807;83;3.032275897476652;2023-06-19;98.80952380952381;2.319402860572007;96.4901209489518;100.0
2203;2023;26;84;0.9761904761904762;10.75609756097561;82;1.5292027002641486;2023-06-26;97.61904761904762;3.260311278026937;94.35873634102069;100.0
2203;2023;27;84;0.9880952380952381;14.626506024096386;83;2.599676078733916;2023-07-03;98.80952380952381;2.319402860572007;96.4901209489518;100.0
2203;2023;28;84;0.9642857142857143;21.34567901234568;81;2.0597450813960725;2023-07-10;96.42857142857143;3.9686269665968847;92.45994446197454;100.0
